Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1689922340,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1689922341,2,,Aggregated,0.000000,0.000000,4,4,4,4,4,4,5,6,7,7,7,530,0,4,3.74054015849057,3.2592499999999913,7.15774999999999,7354.0
1689922342,4,,Aggregated,0.000000,0.000000,6,7,7,7,8,8,9,9,10,11,11,1090,0,6,5.463241617431193,3.2592499999999913,10.54041700000008,7354.0
1689922343,6,,Aggregated,204.000000,0.000000,7,9,10,10,11,12,13,14,17,17,17,1648,0,7,7.234713491504853,3.2592499999999913,17.07337500000028,7354.0
1689922344,8,,Aggregated,372.000000,0.000000,9,11,12,13,14,15,17,18,22,23,23,2209,0,9,9.005663080579446,3.2592499999999913,22.773166999999983,7354.0
1689922345,10,,Aggregated,434.000000,0.000000,11,13,15,16,18,19,21,22,27,28,28,2770,0,11,10.773708680866426,3.2592499999999913,27.530792000000304,7354.0
1689922346,12,,Aggregated,465.750000,0.000000,13,16,18,19,21,22,24,26,28,41,41,3337,0,13,12.523084994306245,3.2592499999999913,41.0302920000003,7354.0
1689922347,14,,Aggregated,485.400000,0.000000,14,18,20,21,24,26,28,30,35,41,41,3897,0,14,14.303180138824725,3.2592499999999913,41.0302920000003,7354.0
1689922348,16,,Aggregated,498.000000,0.000000,16,20,23,24,27,29,32,33,40,43,43,4460,0,16,16.076261032735427,3.2592499999999913,43.11083300000007,7354.0
1689922349,18,,Aggregated,507.428571,0.000000,18,23,25,27,30,32,35,37,42,43,43,5028,0,18,17.821050526650744,3.2592499999999913,43.11083300000007,7354.0
1689922350,20,,Aggregated,514.250000,0.000000,19,25,28,30,33,36,38,41,48,52,52,5600,0,19,19.568401014999967,3.2592499999999913,52.40170899999974,7354.0
1689922351,20,,Aggregated,519.555556,0.000000,21,27,30,32,35,38,41,42,49,52,52,6164,0,21,21.01502874756649,3.2592499999999913,52.40170899999974,7354.0
1689922352,20,,Aggregated,524.400000,0.000000,23,29,32,33,36,39,41,43,49,53,53,6726,0,23,22.227634401724572,3.2592499999999913,52.69483400000041,7354.0
1689922353,20,,Aggregated,560.900000,0.000000,25,31,33,34,37,39,42,44,49,53,53,7293,0,25,23.244613772521557,3.2592499999999913,52.69483400000041,7354.0
1689922354,20,,Aggregated,563.700000,0.000000,26,32,34,35,37,40,42,44,49,53,53,7857,0,26,24.11422041975303,3.2592499999999913,52.69483400000041,7354.0
1689922355,20,,Aggregated,563.900000,0.000000,28,33,34,35,38,40,42,44,49,53,53,8421,0,28,24.86609634164584,3.2592499999999913,53.08662499999883,7354.0
1689922356,20,,Aggregated,564.500000,0.000000,29,33,35,35,38,40,43,45,49,53,53,8990,0,29,25.531107095884312,3.2592499999999913,53.08662499999883,7354.0
1689922357,20,,Aggregated,564.300000,0.000000,30,33,35,36,38,40,43,45,51,58,58,9553,0,30,26.1212568090652,3.2592499999999913,57.80387499999762,7354.0
1689922358,20,,Aggregated,565.100000,0.000000,31,34,35,36,38,40,43,45,51,54,58,10117,0,31,26.641886639715324,3.2592499999999913,57.80387499999762,7354.0
1689922359,20,,Aggregated,565.500000,0.000000,31,34,35,36,38,41,43,45,51,54,58,10682,0,31,27.099162235349173,3.2592499999999913,57.80387499999762,7354.0
1689922360,20,,Aggregated,565.100000,0.000000,32,34,35,36,39,41,43,45,51,54,58,11243,0,32,27.52528588597352,3.2592499999999913,57.80387499999762,7354.0
