Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1689923387,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1689923388,2,,Aggregated,0.000000,0.000000,1,1,1,1,1,2,2,3,9,10,10,1531,0,1,1.2801216485956866,0.8923329999999119,10.227541999999978,7354.0
1689923389,4,,Aggregated,0.000000,0.000000,2,2,2,2,2,3,3,4,7,10,10,3384,0,2,1.7466191968085112,0.8923329999999119,10.227541999999978,7354.0
1689923390,6,,Aggregated,402.000000,0.000000,2,3,3,3,3,3,4,4,7,10,10,5341,0,2,2.218569953753974,0.8923329999999119,10.227541999999978,7354.0
1689923391,8,,Aggregated,1002.500000,0.000000,3,3,4,4,4,4,5,6,8,10,10,7291,0,3,2.7120002548347175,0.8923329999999119,10.227541999999978,7354.0
1689923392,10,,Aggregated,1298.000000,0.000000,3,4,4,4,5,5,6,7,12,14,14,9294,0,3,3.194280650850016,0.8923329999999119,14.328667000000017,7354.0
1689923393,12,,Aggregated,1464.000000,0.000000,4,4,5,5,6,6,7,8,13,15,15,11307,0,4,3.6771561176262533,0.8923329999999119,15.1158330000003,7354.0
1689923394,14,,Aggregated,1560.000000,0.000000,4,5,6,6,7,7,8,9,13,15,15,13329,0,4,4.160074531097617,0.8923329999999119,15.1158330000003,7354.0
1689923395,16,,Aggregated,1636.333333,0.000000,5,6,6,7,8,8,9,10,14,16,17,15391,0,5,4.633561777662267,0.8923329999999119,16.91195799999967,7354.0
1689923396,18,,Aggregated,1689.714286,0.000000,5,6,7,7,8,9,10,11,15,16,17,17435,0,5,5.113767356925718,0.8923329999999119,16.91195799999967,7354.0
1689923397,20,,Aggregated,1731.500000,0.000000,6,7,8,8,9,10,11,13,19,28,30,19452,0,6,5.602245192113906,0.8923329999999119,29.801458999999753,7354.0
1689923398,20,,Aggregated,1767.000000,0.000000,6,8,8,9,10,10,11,13,19,25,30,21521,0,6,5.986775782863243,0.8923329999999119,29.801458999999753,7354.0
1689923399,20,,Aggregated,1793.000000,0.000000,6,8,9,9,10,11,12,13,21,30,32,23555,0,6,6.313464531819157,0.8923329999999119,32.055833000001144,7354.0
1689923400,20,,Aggregated,1959.300000,0.000000,7,8,9,9,10,11,12,14,21,30,32,25639,0,7,6.574432948047905,0.8923329999999119,32.055833000001144,7354.0
1689923401,20,,Aggregated,2004.400000,0.000000,7,9,9,9,10,11,12,14,21,30,32,27715,0,7,6.797821029117826,0.8923329999999119,32.055833000001144,7354.0
1689923402,20,,Aggregated,2018.300000,0.000000,8,9,9,10,10,11,12,14,21,30,32,29769,0,8,6.995646881285911,0.8923329999999119,32.055833000001144,7354.0
1689923403,20,,Aggregated,2030.600000,0.000000,8,9,9,10,10,11,12,14,21,30,32,31847,0,8,7.161594248343635,0.8923329999999119,32.055833000001144,7354.0
1689923404,20,,Aggregated,2042.100000,0.000000,8,9,9,10,10,11,12,14,20,30,32,33921,0,8,7.309211477491809,0.8923329999999119,32.055833000001144,7354.0
1689923405,20,,Aggregated,2047.900000,0.000000,8,9,10,10,10,11,13,15,20,30,32,35979,0,8,7.442081731093139,0.8923329999999119,32.055833000001144,7354.0
1689923406,20,,Aggregated,2054.800000,0.000000,9,9,10,10,10,11,13,15,20,30,32,38034,0,9,7.562312081742655,0.8923329999999119,32.055833000001144,7354.0
1689923407,20,,Aggregated,2059.700000,0.000000,9,9,10,10,10,11,13,15,20,30,32,40106,0,9,7.666735779808487,0.8923329999999119,32.055833000001144,7354.0
