Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1689922502,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1689922503,2,,Aggregated,0.000000,0.000000,3,3,3,3,3,3,4,4,7,7,7,612,0,3,3.2374736617647057,2.9354169999999957,6.623458999999999,7354.0
1689922504,4,,Aggregated,0.000000,0.000000,6,6,6,6,6,7,7,7,8,9,9,1248,0,6,4.772811173878203,2.9354169999999957,8.95987499999995,7354.0
1689922505,6,,Aggregated,110.000000,0.000000,6,7,9,9,9,10,10,10,15,17,17,1885,0,6,6.324887338461551,2.9354169999999957,16.681583,7354.0
1689922506,8,,Aggregated,364.500000,0.000000,9,9,10,12,13,13,13,13,17,27,27,2524,0,9,7.878224598256734,2.9354169999999957,26.627500000000026,7354.0
1689922507,10,,Aggregated,455.000000,0.000000,9,12,13,14,16,16,16,16,25,29,29,3163,0,9,9.435228861207717,2.9354169999999957,28.7548330000007,7354.0
1689922508,12,,Aggregated,500.750000,0.000000,12,13,16,16,19,19,19,19,27,37,37,3805,0,12,10.985790351116945,2.9354169999999957,37.17883299999958,7354.0
1689922509,14,,Aggregated,528.200000,0.000000,12,16,18,19,22,22,22,22,29,44,44,4444,0,12,12.545589884113436,2.9354169999999957,44.08474999999967,7354.0
1689922510,16,,Aggregated,546.666667,0.000000,15,18,20,22,25,25,25,26,36,50,50,5084,0,15,14.103497170731721,2.9354169999999957,49.88550000000025,7354.0
1689922511,18,,Aggregated,560.000000,0.000000,16,19,22,25,28,28,28,29,42,53,53,5725,0,16,15.653781039475971,2.9354169999999957,52.56820800000028,7354.0
1689922512,20,,Aggregated,570.250000,0.000000,18,22,25,27,29,31,31,31,44,67,67,6367,0,18,17.204639379927738,2.9354169999999957,67.19137500000016,7354.0
1689922513,20,,Aggregated,578.000000,0.000000,19,25,28,28,31,31,31,32,42,67,67,7010,0,19,18.480236451925798,2.9354169999999957,67.19137500000016,7354.0
1689922514,20,,Aggregated,584.300000,0.000000,21,26,29,31,31,31,32,32,42,67,67,7654,0,21,19.53347621923174,2.9354169999999957,67.19137500000016,7354.0
1689922515,20,,Aggregated,637.600000,0.000000,22,28,31,31,31,31,32,32,37,67,67,8299,0,22,20.428942230148174,2.9354169999999957,67.19137500000016,7354.0
1689922516,20,,Aggregated,639.900000,0.000000,24,31,31,31,31,31,32,32,37,67,67,8942,0,24,21.195966043055236,2.9354169999999957,67.19137500000016,7354.0
1689922517,20,,Aggregated,640.500000,0.000000,25,31,31,31,31,31,32,32,37,67,67,9585,0,25,21.858652895148698,2.9354169999999957,67.19137500000016,7354.0
1689922518,20,,Aggregated,641.300000,0.000000,27,31,31,31,31,31,32,32,37,66,67,10227,0,27,22.4421520195561,2.9354169999999957,67.19137500000016,7354.0
1689922519,20,,Aggregated,641.700000,0.000000,28,31,31,31,31,31,32,32,37,66,67,10868,0,28,22.957273796834755,2.9354169999999957,67.19137500000016,7354.0
1689922520,20,,Aggregated,642.000000,0.000000,29,31,31,31,31,31,32,32,37,66,67,11510,0,29,23.41252025282367,2.9354169999999957,67.19137500000016,7354.0
1689922521,20,,Aggregated,642.200000,0.000000,31,31,31,31,31,32,32,32,36,66,67,12151,0,31,23.823561279565503,2.9354169999999957,67.19137500000016,7354.0
1689922522,20,,Aggregated,642.100000,0.000000,31,31,31,31,31,32,32,32,36,66,67,12791,0,31,24.193896312172647,2.9354169999999957,67.19137500000016,7354.0
