Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1689921937,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1689921938,2,,Aggregated,0.000000,0.000000,4,4,4,4,4,4,4,4,10,10,10,529,0,4,3.7477994650283617,3.328042000000142,9.986959000000017,7354.0
1689921939,4,,Aggregated,0.000000,0.000000,6,7,7,7,8,9,9,10,11,12,12,1071,0,6,5.55821486647992,3.328042000000142,11.985500000000204,7354.0
1689921940,6,,Aggregated,39.000000,0.000000,7,9,10,10,11,12,13,14,16,17,17,1624,0,7,7.34744750061575,3.328042000000142,17.409082999999992,7354.0
1689921941,8,,Aggregated,287.000000,0.000000,9,11,12,13,15,16,17,18,22,23,23,2176,0,9,9.140479679687493,3.328042000000142,22.72866699999998,7354.0
1689921942,10,,Aggregated,372.333333,0.000000,11,14,15,16,18,19,21,22,27,30,30,2725,0,11,10.953156168807334,3.328042000000142,29.979584000000337,7354.0
1689921943,12,,Aggregated,417.250000,0.000000,13,16,18,19,21,23,24,26,30,35,35,3283,0,13,12.732478274748697,3.328042000000142,35.24833400000027,7354.0
1689921944,14,,Aggregated,444.200000,0.000000,14,18,20,22,24,26,28,30,35,38,38,3839,0,14,14.524387082573584,3.328042000000142,37.624082999999864,7354.0
1689921945,16,,Aggregated,461.833333,0.000000,16,21,23,25,27,30,32,34,38,42,42,4401,0,16,16.2970510895251,3.328042000000142,41.64387500000011,7354.0
1689921946,18,,Aggregated,475.428571,0.000000,18,23,26,27,31,33,36,38,43,49,49,4952,0,18,18.087525701130843,3.328042000000142,49.0630000000003,7354.0
1689921947,20,,Aggregated,485.500000,0.000000,20,25,29,30,34,37,39,41,47,50,50,5511,0,20,19.863691348938453,3.328042000000142,50.49800000000104,7354.0
1689921948,20,,Aggregated,493.555556,0.000000,21,28,31,32,36,38,41,43,47,56,56,6072,0,21,21.326092097826074,3.328042000000142,56.03891700000041,7354.0
1689921949,20,,Aggregated,500.000000,0.000000,23,30,32,34,37,39,42,43,48,56,56,6632,0,23,22.53425951568154,3.328042000000142,56.03891700000041,7354.0
1689921950,20,,Aggregated,552.100000,0.000000,25,31,34,35,37,39,42,44,50,56,56,7193,0,25,23.56796659168632,3.328042000000142,56.03891700000041,7354.0
1689921951,20,,Aggregated,553.800000,0.000000,27,32,34,35,38,40,42,44,51,57,57,7753,0,27,24.454493710434612,3.328042000000142,57.49391600000031,7354.0
1689921952,20,,Aggregated,556.300000,0.000000,28,33,35,36,38,40,43,45,51,57,57,8306,0,28,25.218932643751415,3.328042000000142,57.49391600000031,7354.0
1689921953,20,,Aggregated,556.800000,0.000000,30,34,35,36,38,41,43,45,51,57,57,8867,0,30,25.882275609676217,3.328042000000142,57.49391600000031,7354.0
1689921954,20,,Aggregated,557.600000,0.000000,31,34,35,36,39,41,43,45,51,57,57,9424,0,31,26.47433189049221,3.328042000000142,57.49391600000031,7354.0
1689921955,20,,Aggregated,558.100000,0.000000,31,34,36,36,39,41,44,45,51,57,57,9979,0,31,27.0062716025652,3.328042000000142,57.49391600000031,7354.0
1689921956,20,,Aggregated,558.100000,0.000000,32,35,36,37,39,41,44,46,51,56,57,10537,0,32,27.47419137914005,3.328042000000142,57.49391600000031,7354.0
1689921957,20,,Aggregated,558.100000,0.000000,32,35,36,37,39,41,44,46,51,56,57,11092,0,32,27.89235186530817,3.328042000000142,57.49391600000031,7354.0
